Player,Squad,90s,GA,PKA,Goal,Goal,Goal,Expe,Expe,Expe,Expe,Laun,Laun,Laun,Pass,Pass,Pass,Pass,Goal,Goal,Goal,Cros,Cros,Cros,Swee,Swee,Swee
Player,Squad,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alisson,Liverpool,3,5,1,0,0,0,5.1,0.42,+0.1,+0.02,10,21,47.6,95,16,17.9,28.2,14,28.6,29.2,17,0,0,4,1.33,17.2
Alphonse Areola,West Ham,0.7,2,1,0,0,0,1.1,0.22,-0.9,-1.32,8,15,53.3,18,1,50,37,8,75,50.3,4,0,0,0,0,14
Gavin Bazunu,Southampton,3,7,0,1,2,1,4.7,0.36,-1.3,-0.44,17,67,25.4,84,10,63.1,51.1,15,93.3,66.2,22,2,9.1,2,0.67,12.7
Ederson,Manchester City,3,3,0,1,0,0,3,0.43,0,+0.01,10,19,52.6,83,19,21.7,29.1,10,10,23.9,18,0,0,0,0,15.1
Łukasz Fabiański,West Ham,2.3,3,1,0,0,0,4,0.45,+1.0,+0.45,15,41,36.6,57,16,57.9,44.9,13,61.5,46.1,13,4,30.8,0,0,12.2
David de Gea,Manchester Utd,3,7,0,0,2,0,6,0.41,-1,-0.34,13,48,27.1,54,8,48.1,40.5,25,88,64.2,27,1,3.7,2,0.67,14
Vicente Guaita,Crystal Palace,3,4,0,0,1,1,3.4,0.31,+0.4,+0.14,27,42,64.3,74,15,40.5,32.4,26,46.2,38.7,32,2,6.3,2,0.67,12.7
Dean Henderson,Nott'ham Forest,3,3,0,0,1,0,5.6,0.24,+2.6,+0.88,19,82,23.2,102,27,58.8,47.2,33,66.7,52.1,32,1,3.1,4,1.33,15
Bernd Leno,Fulham,1,2,0,0,1,0,2,0.39,0,-0.03,7,18,38.9,20,2,80,57.2,7,28.6,33.6,12,0,0,2,2,15.3
Hugo Lloris,Tottenham,3,3,0,0,1,0,1.9,0.24,-1.1,-0.37,10,20,50,59,12,23.7,31.5,26,23.1,26.4,29,1,3.4,0,0,15.2
Emiliano Martínez,Aston Villa,3,6,0,0,1,1,5.1,0.3,+0.1,+0.02,13,35,37.1,62,12,48.4,40,15,33.3,35.8,14,1,7.1,2,0.67,15.7
Edouard Mendy,Chelsea,3,5,0,0,1,0,4.2,0.3,-0.8,-0.25,11,24,45.8,60,12,26.7,29.1,19,42.1,33.4,16,1,6.3,0,0,12.2
Illan Meslier,Leeds United,3,3,0,0,0,0,2.6,0.2,-0.4,-0.14,5,40,12.5,65,16,49.2,40.4,24,33.3,36,20,1,5,4,1.33,14.8
Jordan Pickford,Everton,3,4,1,0,0,0,3.9,0.24,-0.1,-0.02,20,56,35.7,83,16,54.2,44.3,20,55,48.1,24,2,8.3,8,2.67,21.2
Nick Pope,Newcastle Utd,3,3,0,0,1,0,4.9,0.31,+1.9,+0.63,17,47,36.2,61,18,57.4,45.2,14,85.7,64.4,30,3,10,4,1.33,15.7
Aaron Ramsdale,Arsenal,3,2,0,0,0,1,0.6,0.11,-0.4,-0.12,17,42,40.5,72,10,47.2,40.6,9,88.9,73.3,22,2,9.1,2,0.67,18.3
David Raya,Brentford,3,5,0,0,2,0,4.6,0.26,-0.4,-0.13,28,86,32.6,116,15,54.3,44.6,25,92,67.1,24,2,8.3,3,1,17.6
Marek Rodák,Fulham,2,2,0,0,0,0,1.3,0.32,-0.7,-0.35,16,46,34.8,45,3,75.6,53.5,15,80,63.2,19,0,0,1,0.5,12
José Sá,Wolves,3,3,0,0,1,1,2.9,0.2,+0.9,+0.29,9,32,28.1,77,15,32.5,34.2,25,28,30.4,24,3,12.5,1,0.33,13.9
Robert Sánchez,Brighton,3,1,0,0,0,1,2.2,0.28,+2.2,+0.74,19,67,28.4,75,8,65.3,55.7,19,94.7,70.8,25,2,8,1,0.33,13.5
Mark Travers,Bournemouth,3,7,0,0,0,1,6.8,0.46,+0.8,+0.26,18,31,58.1,57,13,40.4,35.1,34,23.5,29.8,35,5,14.3,0,0,12.2
Danny Ward,Leicester City,3,8,0,0,1,0,4.9,0.38,-3.1,-1.04,10,39,25.6,80,21,31.3,33.8,20,70,54.8,15,2,13.3,2,0.67,16.1
