Player,Pos,Squad,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Player,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive▼,PassDead,Drib,Sh,Fld,Def
Kevin De Bruyne,MF,Manchester City,3,17,5.73,10,5,1,1,0,0,4,1.35,4,0,0,0,0,0
Rodri,MF,Manchester City,3,9,3.02,8,0,0,1,0,0,4,1.34,4,0,0,0,0,0
Allan Saint-Maximin,FW,Newcastle Utd,2.8,17,6.05,12,0,3,0,2,0,5,1.78,3,0,1,0,1,0
İlkay Gündoğan,MF,Manchester City,2.6,15,5.84,15,0,0,0,0,0,3,1.17,3,0,0,0,0,0
Mathias Jensen,MF,Brentford,2.1,8,3.79,4,2,0,0,0,2,4,1.89,2,1,0,0,0,1
Emerson,DF,Tottenham,2.9,7,2.45,7,0,0,0,0,0,2,0.7,2,0,0,0,0,0
Son Heung-min,MFFW,Tottenham,2.7,8,2.96,5,3,0,0,0,0,3,1.11,2,1,0,0,0,0
Gabriel Jesus,FW,Arsenal,2.8,14,4.94,7,0,3,2,1,1,2,0.71,2,0,0,0,0,0
James Milner,MF,Liverpool,1.8,12,6.51,10,0,2,0,0,0,2,1.08,2,0,0,0,0,0
Bukayo Saka,FW,Arsenal,2.9,10,3.46,6,2,0,1,1,0,3,1.04,2,1,0,0,0,0
Ivan Toney,FW,Brentford,3,9,3,6,1,1,0,1,0,2,0.67,2,0,0,0,0,0
Leandro Trossard,DFFW,Brighton,2.6,13,4.94,10,0,1,1,0,1,2,0.76,2,0,0,0,0,0
Ollie Watkins,FW,Aston Villa,2.3,6,2.63,6,0,0,0,0,0,2,0.88,2,0,0,0,0,0
Yoane Wissa,FW,Brentford,2,4,1.98,4,0,0,0,0,0,2,0.99,2,0,0,0,0,0
Granit Xhaka,MF,Arsenal,3,10,3.37,8,1,0,1,0,0,2,0.67,2,0,0,0,0,0
Pascal Groß,MFDF,Brighton,3,10,3.33,7,2,0,0,1,0,2,0.67,1,0,0,0,1,0
Erling Haaland,FW,Manchester City,2.7,7,2.62,4,0,1,0,2,0,2,0.75,1,0,0,0,1,0
Danny Welbeck,FW,Brighton,3,8,2.68,7,0,0,0,1,0,2,0.67,1,0,0,0,1,0
Ben Davies,DF,Tottenham,2.9,3,1.02,2,0,0,1,0,0,2,0.68,1,0,0,1,0,0
Martinelli,FW,Arsenal,2.8,8,2.85,6,1,0,1,0,0,2,0.71,1,0,0,1,0,0
Wilfried Zaha,FW,Crystal Palace,2.9,11,3.79,8,0,2,1,0,0,2,0.69,1,0,0,1,0,0
Moussa Djenepo,DF,Southampton,2.8,4,1.44,3,0,1,0,0,0,2,0.72,1,0,1,0,0,0
Eberechi Eze,MFFW,Crystal Palace,2.8,10,3.57,5,3,1,0,0,1,2,0.71,1,0,1,0,0,0
Sekou Mara,FWMF,Southampton,0.9,3,3.42,1,0,2,0,0,0,2,2.28,1,0,1,0,0,0
Anthony Martial,FW,Manchester Utd,0.5,4,8,3,0,1,0,0,0,2,4,1,0,1,0,0,0
Daniel Amartey,DF,Leicester City,2.7,2,0.74,2,0,0,0,0,0,1,0.37,1,0,0,0,0,0
Adam Armstrong,FWMF,Southampton,1.6,1,0.62,1,0,0,0,0,0,1,0.62,1,0,0,0,0,0
Leon Bailey,FW,Aston Villa,1.9,6,3.21,5,0,1,0,0,0,1,0.54,1,0,0,0,0,0
Armel Bella Kotchap,DF,Southampton,2,3,1.5,2,0,0,0,1,0,1,0.5,1,0,0,0,0,0
Emi Buendía,FWMF,Aston Villa,1.6,5,3.04,3,1,0,0,1,0,1,0.61,1,0,0,0,0,0
Josh Dasilva,MF,Brentford,1.8,2,1.08,2,0,0,0,0,0,1,0.54,1,0,0,0,0,0
Odsonne Édouard,FW,Crystal Palace,1.7,4,2.34,2,0,0,1,1,0,1,0.58,1,0,0,0,0,0
Anthony Elanga,FW,Manchester Utd,0.9,4,4.68,2,0,0,0,2,0,1,1.17,1,0,0,0,0,0
Harvey Elliott,MF,Liverpool,2.3,13,5.63,10,0,2,1,0,0,1,0.43,1,0,0,0,0,0
Phil Foden,FW,Manchester City,2.5,14,5.68,9,3,0,1,1,0,1,0.41,1,0,0,0,0,0
Jack Harrison,FW,Leeds United,2.8,15,5.29,7,5,1,0,2,0,2,0.71,1,1,0,0,0,0
Hwang Hee-chan,FW,Wolves,1.7,4,2.38,2,0,1,0,1,0,1,0.6,1,0,0,0,0,0
Rico Henry,DF,Brentford,3,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Pierre Højbjerg,MF,Tottenham,3,8,2.67,7,1,0,0,0,0,1,0.33,1,0,0,0,0,0
Mason Holgate,DF,Everton,2.8,4,1.42,3,0,0,1,0,0,1,0.36,1,0,0,0,0,0
Kelechi Iheanacho,FW,Leicester City,0.4,3,7.5,2,0,0,1,0,0,1,2.5,1,0,0,0,0,0
Joelinton,MF,Newcastle Utd,3,10,3.33,8,1,0,0,0,1,1,0.33,1,0,0,0,0,0
N'Golo Kanté,MF,Chelsea,1.9,6,3.1,6,0,0,0,0,0,1,0.52,1,0,0,0,0,0
Neeskens Kebano,FW,Fulham,1.6,4,2.45,3,0,0,0,1,0,1,0.61,1,0,0,0,0,0
Lloyd Kelly,DF,Bournemouth,3,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Kalidou Koulibaly,DF,Chelsea,2.7,2,0.73,2,0,0,0,0,0,1,0.36,1,0,0,0,0,0
Dejan Kulusevski,MFFW,Tottenham,2.9,9,3.12,9,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Keane Lewis-Potter,FWMF,Brentford,0.7,2,2.86,2,0,0,0,0,0,1,1.43,1,0,0,0,0,0
James Maddison,MF,Leicester City,3,10,3.33,7,2,1,0,0,0,2,0.67,1,1,0,0,0,0
Riyad Mahrez,FW,Manchester City,1,6,5.81,4,1,1,0,0,0,1,0.97,1,0,0,0,0,0
Kevin Mbabu,DF,Fulham,0.2,3,18,3,0,0,0,0,0,1,6,1,0,0,0,0,0
Tyrone Mings,DF,Aston Villa,2,2,1,1,0,0,0,1,0,1,0.5,1,0,0,0,0,0
Tyrick Mitchell,DF,Crystal Palace,2.9,4,1.4,4,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Pedro Neto,FWDF,Wolves,2.6,9,3.4,5,1,1,2,0,0,1,0.38,1,0,0,0,0,0
Darwin Núñez,FW,Liverpool,1.1,3,2.81,3,0,0,0,0,0,1,0.94,1,0,0,0,0,0
