Player,Pos,Squad,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Brenden Aaronson,FWMF,Leeds United,2.8,98,87,11,1,0,15,2,1,6,1,5,0,73,9,16,11,81,2,1,2,66,0,0,7,6
Che Adams,FW,Southampton,1.4,22,21,1,0,0,5,1,2,0,0,0,0,11,4,7,0,17,1,0,1,14,0,0,1,1
Tyler Adams,MF,Leeds United,3,125,116,9,7,0,9,0,0,0,0,0,0,83,11,31,14,96,12,2,0,100,0,0,7,1
Tosin Adarabioyo,DF,Fulham,3,99,94,5,5,0,17,3,0,0,0,0,0,54,14,31,4,75,11,0,0,76,0,4,2,2
Rayan Aït Nouri,DF,Wolves,2.8,164,137,27,3,0,22,0,4,0,0,0,0,109,29,26,113,17,8,24,0,135,0,1,4,6
Nathan Aké,DF,Manchester City,2.2,212,210,2,2,0,8,2,1,0,0,0,0,191,6,15,161,43,6,0,0,202,0,1,2,0
Thiago Alcántara,MF,Liverpool,0.6,51,48,3,2,0,9,4,0,0,0,0,0,37,2,12,5,43,1,0,0,45,0,1,1,2
Trent Alexander-Arnold,DF,Liverpool,3,280,226,54,4,1,13,18,19,9,2,6,1,136,41,103,46,187,4,41,0,196,3,7,15,7
Alisson,GK,Liverpool,3,109,91,18,4,0,4,1,0,0,0,0,0,78,9,22,11,79,0,0,17,95,0,1,1,0
Dele Alli,FWMF,Everton,0.4,13,13,0,0,0,3,0,0,0,0,0,0,11,2,0,0,12,0,0,0,11,0,1,0,0
Miguel Almirón,FW,Newcastle Utd,2.8,79,77,2,0,0,6,1,6,0,0,0,0,66,7,6,71,6,0,2,0,63,1,1,4,0
Julián Álvarez,FW,Manchester City,0.3,9,9,0,0,0,1,0,0,0,0,0,0,7,1,1,3,4,2,0,0,8,0,0,0,0
Daniel Amartey,DF,Leicester City,2.7,221,211,10,7,0,16,1,0,0,0,0,0,178,19,24,20,186,7,3,0,203,0,3,2,1
Joachim Andersen,DF,Crystal Palace,3,177,169,8,7,1,15,13,1,0,0,0,0,115,14,48,14,146,8,1,1,148,1,2,3,1
Jaidon Anthony,FW,Bournemouth,0.5,23,23,0,0,0,6,3,1,0,0,0,0,19,2,2,2,21,0,0,0,19,0,0,3,0
Michail Antonio,FW,West Ham,2.2,30,26,4,1,0,8,1,3,0,0,0,0,19,4,7,8,18,1,0,2,18,0,2,1,1
Cameron Archer,MF,Aston Villa,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1
Alphonse Areola,GK,West Ham,0.7,26,17,9,1,0,6,0,0,0,0,0,0,10,0,16,3,22,0,0,1,18,0,0,1,0
Joe Aribo,FWMF,Southampton,2.3,56,56,0,0,0,17,0,2,0,0,0,0,40,11,5,30,16,4,0,3,41,0,1,3,2
Adam Armstrong,FWMF,Southampton,1.6,36,32,4,0,0,9,1,1,0,0,0,0,21,5,10,4,28,1,0,2,25,0,0,2,2
Stuart Armstrong,MFFW,Southampton,1.4,36,32,4,0,0,8,0,2,0,0,0,0,28,3,5,7,25,0,1,2,31,0,0,0,3
Taiwo Awoniyi,FW,Nott'ham Forest,1.8,38,38,0,0,0,11,0,0,0,0,0,0,27,8,3,10,23,1,0,2,28,0,1,1,2
Jordan Ayew,FW,Crystal Palace,2.5,64,64,0,0,0,15,2,5,0,0,0,0,48,9,7,3,56,2,0,0,50,0,0,4,4
César Azpilicueta,DF,Chelsea,1.2,87,75,12,5,0,5,1,2,0,0,0,0,72,5,10,7,68,3,7,1,79,0,1,1,0
Leon Bailey,FW,Aston Villa,1.9,60,57,3,0,1,11,2,8,1,0,0,0,23,21,16,47,5,4,2,0,40,0,1,3,2
Patrick Bamford,FW,Leeds United,1.2,16,15,1,0,0,3,0,2,0,0,0,0,12,3,1,13,0,0,0,1,12,0,0,2,0
Shandon Baptiste,MF,Brentford,0.6,17,16,1,1,0,3,1,0,0,0,0,0,15,1,1,3,13,0,0,0,14,0,0,0,1
Harvey Barnes,MFFW,Leicester City,0.8,27,26,1,0,0,0,0,2,0,0,0,0,18,5,4,3,21,2,1,0,19,0,1,2,0
Gavin Bazunu,GK,Southampton,3,99,76,23,8,0,7,5,0,0,0,0,0,26,3,70,1,80,0,0,10,45,0,5,2,0
Mads Bech Sørensen,DF,Brentford,0.2,10,6,4,1,0,0,0,0,0,0,0,0,5,0,5,5,2,0,3,0,7,0,0,0,0
Jan Bednarek,DF,Southampton,1.8,77,70,7,6,0,7,0,0,0,0,0,0,58,3,16,10,58,9,0,0,69,0,2,1,0
Donny van de Beek,MF,Manchester Utd,0.2,13,12,1,0,0,2,0,0,1,0,0,0,10,1,2,0,11,0,0,0,12,0,0,0,0
Armel Bella Kotchap,DF,Southampton,2,73,72,1,1,0,11,1,0,0,0,0,0,47,9,17,8,53,7,0,1,50,0,5,1,2
Saïd Benrahma,FWMF,West Ham,2.2,64,62,2,0,0,6,3,10,0,0,0,0,50,6,8,17,46,0,1,0,48,0,2,1,4
Rodrigo Bentancur,MF,Tottenham,2.8,147,142,5,4,0,18,5,1,0,0,0,0,129,8,10,27,113,4,1,0,131,0,0,5,1
Philip Billing,MFFW,Bournemouth,2,59,53,6,4,0,10,3,0,0,0,0,0,43,9,7,43,9,4,0,0,43,0,2,5,2
Yves Bissouma,MF,Tottenham,0.2,10,10,0,0,0,1,0,0,0,0,0,0,9,1,0,2,8,0,0,0,10,0,0,0,0
Sven Botman,DF,Newcastle Utd,2,67,67,0,0,0,8,1,0,0,0,0,0,44,5,18,44,14,3,0,0,55,1,1,2,0
