Player,Pos,Squad,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Player,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Brenden Aaronson,FWMF,Leeds United,2.8,66,98,67.3,1065,270,35,50,70,21,28,75,7,12,58.3,0,0.2,-0.2,4,2,1,0,7
Che Adams,FW,Southampton,1.4,14,22,63.6,184,24,9,14,64.3,3,4,75,1,2,50,0,0,0,1,0,0,0,1
Tyler Adams,MF,Leeds United,3,100,125,80,1662,488,45,53,84.9,46,56,82.1,7,13,53.8,0,0.1,-0.1,2,8,1,0,7
Tosin Adarabioyo,DF,Fulham,3,76,99,76.8,1740,577,21,25,84,37,44,84.1,17,26,65.4,0,0,0,0,11,0,0,9
Rayan Aït Nouri,DF,Wolves,2.8,135,164,82.3,2274,934,66,75,88,59,67,88.1,8,14,57.1,0,0.6,-0.6,4,13,5,2,16
Nathan Aké,DF,Manchester City,2.2,202,212,95.3,3719,1357,78,81,96.3,107,112,95.5,14,16,87.5,0,0,0,0,12,0,0,4
Thiago Alcántara,MF,Liverpool,0.6,45,51,88.2,1055,238,13,15,86.7,17,18,94.4,12,13,92.3,0,0.1,-0.1,1,5,1,0,8
Trent Alexander-Arnold,DF,Liverpool,3,196,280,70,4490,2173,67,76,88.2,77,99,77.8,50,97,51.5,0,0.5,-0.5,8,22,16,4,33
Alisson,GK,Liverpool,3,95,109,87.2,2326,1408,17,17,100,53,54,98.1,23,36,63.9,0,0,0,0,1,0,0,0
Dele Alli,FWMF,Everton,0.4,11,13,84.6,132,23,7,9,77.8,3,3,100,0,0,,0,0,0,0,2,0,0,1
Miguel Almirón,FW,Newcastle Utd,2.8,63,79,79.7,1003,280,35,40,87.5,22,31,71,5,6,83.3,0,0.6,-0.6,3,6,4,1,11
Julián Álvarez,FW,Manchester City,0.3,8,9,88.9,100,6,7,8,87.5,1,1,100,0,0,,0,0,0,0,0,0,0,0
Daniel Amartey,DF,Leicester City,2.7,203,221,91.9,3978,1374,83,88,94.3,90,97,92.8,29,35,82.9,0,0,0,1,21,0,0,16
Joachim Andersen,DF,Crystal Palace,3,148,177,83.6,4448,1457,26,29,89.7,58,65,89.2,64,82,78,0,0.4,-0.4,2,16,1,0,3
