,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Brenden Aaronson,FWMF,Leeds United,2.8,142,1,15,72,64,8,132,6,10,60,7,3,97,494,310,13,5,0,6,12,138,98,71,22
Che Adams,FW,Southampton,1.4,41,1,2,14,26,8,40,0,0,,0,0,17,41,13,1,0,0,3,2,53,27,50.9,5
Tyler Adams,MF,Leeds United,3,166,6,50,98,25,0,158,0,1,0,0,0,76,313,134,5,2,0,5,2,94,83,88.3,3
Tosin Adarabioyo,DF,Fulham,3,134,27,73,65,2,1,129,1,1,100,1,0,54,275,161,8,0,0,1,0,59,58,98.3,1
Rayan Aït Nouri,DF,Wolves,2.8,208,14,73,83,60,5,181,7,12,58.3,9,1,136,458,289,17,3,0,4,5,147,135,91.8,6
Nathan Aké,DF,Manchester City,2.2,229,16,100,135,10,4,227,0,0,,0,0,182,942,460,10,0,0,0,0,195,194,99.5,0
Thiago Alcántara,MF,Liverpool,0.6,60,0,9,45,9,0,57,0,1,0,0,0,41,111,30,1,0,0,0,2,47,41,87.2,3
Trent Alexander-Arnold,DF,Liverpool,3,307,6,49,160,106,7,253,1,3,33.3,1,0,184,557,273,9,3,1,1,0,209,192,91.9,13
Alisson,GK,Liverpool,3,116,95,116,3,0,0,98,0,0,,0,0,69,340,187,0,0,0,0,0,71,71,100,0
Dele Alli,FWMF,Everton,0.4,20,0,0,9,11,3,20,1,3,33.3,1,0,11,12,0,0,0,0,2,1,22,15,68.2,3
Miguel Almirón,FW,Newcastle Utd,2.8,117,4,20,37,71,25,115,4,9,44.4,4,1,93,540,343,15,5,4,8,2,100,75,75,27
Julián Álvarez,FW,Manchester City,0.3,11,0,0,3,9,0,11,1,1,100,1,0,10,53,9,0,0,0,1,0,13,10,76.9,2
Daniel Amartey,DF,Leicester City,2.7,243,19,89,154,16,1,234,0,0,,0,0,163,766,463,14,2,0,0,1,181,179,98.9,1
Joachim Andersen,DF,Crystal Palace,3,220,58,146,72,10,5,212,1,1,100,1,0,119,475,234,1,0,0,1,1,144,144,100,1
Jaidon Anthony,FW,Bournemouth,0.5,31,0,2,19,12,1,31,0,0,,0,0,24,103,21,1,0,0,2,1,29,23,79.3,3
Michail Antonio,FW,West Ham,2.2,55,0,4,25,29,10,52,1,2,50,2,0,37,214,116,7,2,1,9,3,82,43,52.4,13
Cameron Archer,MF,Aston Villa,0.1,2,0,0,0,2,1,2,0,0,,0,0,2,1,1,0,0,0,0,0,3,2,66.7,1
Alphonse Areola,GK,West Ham,0.7,26,25,26,0,0,0,17,0,0,,0,0,13,68,17,0,0,0,0,0,16,16,100,0
Joe Aribo,FWMF,Southampton,2.3,82,1,9,36,40,10,82,3,6,50,3,0,57,249,118,9,3,1,6,5,83,57,68.7,11
Adam Armstrong,FWMF,Southampton,1.6,50,1,6,25,21,5,46,1,1,100,1,0,32,153,90,2,0,0,2,5,53,35,66,7
Stuart Armstrong,MFFW,Southampton,1.4,54,1,5,19,34,4,50,0,0,,0,0,36,205,114,6,3,0,3,4,46,37,80.4,7
Taiwo Awoniyi,FW,Nott'ham Forest,1.8,59,2,7,21,35,10,59,1,3,33.3,1,0,46,235,144,8,2,3,7,3,80,40,50,17
Jordan Ayew,FW,Crystal Palace,2.5,100,3,15,50,48,10,100,8,10,80,8,0,84,433,251,9,3,2,6,11,101,75,74.3,11
César Azpilicueta,DF,Chelsea,1.2,97,4,34,50,21,2,86,2,2,100,2,0,58,292,223,10,5,0,1,0,62,62,100,1
Leon Bailey,FW,Aston Villa,1.9,89,1,7,24,62,7,86,1,7,14.3,1,0,62,247,121,9,2,1,7,4,87,65,74.7,16
Patrick Bamford,FW,Leeds United,1.2,30,2,2,14,16,9,29,0,1,0,0,0,15,101,65,3,2,2,5,1,53,19,35.8,7
Shandon Baptiste,MF,Brentford,0.6,33,3,10,17,7,1,32,1,1,100,1,0,20,82,36,1,0,0,0,1,22,19,86.4,2
Harvey Barnes,MFFW,Leicester City,0.8,41,2,4,19,24,4,40,2,2,100,2,0,36,180,133,9,4,1,2,5,41,34,82.9,6
Gavin Bazunu,GK,Southampton,3,106,77,106,2,0,0,83,0,0,,0,0,57,333,181,0,0,0,0,0,50,49,98,0
Mads Bech Sørensen,DF,Brentford,0.2,13,1,5,7,1,0,9,0,0,,0,0,5,11,0,0,0,0,0,0,5,5,100,0
