Player,Pos,Squad,90s,Gls,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected
Player,Pos,Squad,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Brenden Aaronson,FWMF,Leeds United,2.8,1,5,2,40,1.76,0.71,0.2,0.5,19.2,0,0,0,1.1,1.1,0.22,-0.1,-0.1
Che Adams,FW,Southampton,1.4,2,4,2,50,2.95,1.48,0.5,1,12,0,0,0,0.4,0.4,0.09,+1.6,+1.6
Tyler Adams,MF,Leeds United,3,0,2,0,0,0.67,0,0,,29.1,0,0,0,0,0,0.02,0,0
Tosin Adarabioyo,DF,Fulham,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Rayan Aït Nouri,DF,Wolves,2.8,0,1,1,100,0.36,0.36,0,0,6.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Nathan Aké,DF,Manchester City,2.2,0,3,0,0,1.35,0,0,,10.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Thiago Alcántara,MF,Liverpool,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Trent Alexander-Arnold,DF,Liverpool,3,0,5,0,0,1.67,0,0,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Alisson,GK,Liverpool,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Dele Alli,FWMF,Everton,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Miguel Almirón,FW,Newcastle Utd,2.8,1,5,2,40,1.79,0.71,0.2,0.5,12.6,0,0,0,0.7,0.7,0.15,+0.3,+0.3
Julián Álvarez,FW,Manchester City,0.3,0,1,0,0,3,0,0,,20.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Daniel Amartey,DF,Leicester City,2.7,0,1,0,0,0.37,0,0,,38.2,0,0,0,0,0,0.01,0,0
Joachim Andersen,DF,Crystal Palace,3,0,1,0,0,0.33,0,0,,5.4,0,0,0,0.4,0.4,0.42,-0.4,-0.4
Jaidon Anthony,FW,Bournemouth,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Michail Antonio,FW,West Ham,2.2,0,4,0,0,1.82,0,0,,9.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Cameron Archer,MF,Aston Villa,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Alphonse Areola,GK,West Ham,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Joe Aribo,FWMF,Southampton,2.3,1,4,3,75,1.74,1.3,0.25,0.33,10.6,0,0,0,0.5,0.5,0.12,+0.5,+0.5
Adam Armstrong,FWMF,Southampton,1.6,0,1,0,0,0.62,0,0,,24,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Stuart Armstrong,MFFW,Southampton,1.4,0,3,0,0,2.14,0,0,,22.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Taiwo Awoniyi,FW,Nott'ham Forest,1.8,1,3,2,66.7,1.7,1.13,0.33,0.5,10.4,0,0,0,0.6,0.6,0.2,+0.4,+0.4
Jordan Ayew,FW,Crystal Palace,2.5,0,3,2,66.7,1.22,0.81,0,0,13.9,0,0,0,0.5,0.5,0.15,-0.5,-0.5
César Azpilicueta,DF,Chelsea,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Leon Bailey,FW,Aston Villa,1.9,0,2,0,0,1.07,0,0,,15.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Patrick Bamford,FW,Leeds United,1.2,0,4,2,50,3.27,1.64,0,0,13.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Shandon Baptiste,MF,Brentford,0.6,0,1,0,0,1.73,0,0,,18.1,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Harvey Barnes,MFFW,Leicester City,0.8,0,2,0,0,2.4,0,0,,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Gavin Bazunu,GK,Southampton,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Mads Bech Sørensen,DF,Brentford,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jan Bednarek,DF,Southampton,1.8,0,1,0,0,0.57,0,0,,7,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Donny van de Beek,MF,Manchester Utd,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Armel Bella Kotchap,DF,Southampton,2,0,2,0,0,1,0,0,,15.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Saïd Benrahma,FWMF,West Ham,2.2,0,6,2,33.3,2.73,0.91,0,0,20.5,1,0,0,0.2,0.2,0.04,-0.2,-0.2
Rodrigo Bentancur,MF,Tottenham,2.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Philip Billing,MFFW,Bournemouth,2,0,1,0,0,0.5,0,0,,16,0,0,0,0,0,0.04,0,0
Yves Bissouma,MF,Tottenham,0.2,0,2,0,0,8.18,0,0,,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sven Botman,DF,Newcastle Utd,2,0,1,0,0,0.5,0,0,,12.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jarrod Bowen,FWMF,West Ham,2.9,0,5,0,0,1.71,0,0,,14.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Armando Broja,FW,Chelsea,0.2,0,1,1,100,5.29,5.29,0,0,9.5,0,0,0,0,0,0.04,0,0
Emi Buendía,FWMF,Aston Villa,1.6,1,3,2,66.7,1.82,1.22,0.33,0.5,9.2,0,0,0,1.2,1.2,0.39,-0.2,-0.2
Dan Burn,DF,Newcastle Utd,3,0,5,1,20,1.67,0.33,0,0,9,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Cafú,MF,Nott'ham Forest,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Moisés Caicedo,MF,Brighton,3,0,2,1,50,0.67,0.33,0,0,29,0,0,0,0,0,0.02,0,0
Tom Cairney,MF,Fulham,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Chem Campbell,FW,Wolves,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
João Cancelo,DF,Manchester City,3,0,3,0,0,1,0,0,,23.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Diego Carlos,DF,Aston Villa,2,0,4,0,0,2.01,0,0,,15.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Fabio Carvalho,FWMF,Liverpool,0.5,0,4,1,25,8.37,2.09,0,0,14.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Matty Cash,DF,Aston Villa,3,0,2,0,0,0.67,0,0,,28.3,0,0,0,0,0,0.02,0,0
Timothy Castagne,DF,Leicester City,3,1,1,1,100,0.33,0.33,1,1,5.8,0,0,0,0.1,0.1,0.06,+0.9,+0.9
Jonny Castro,DF,Wolves,2.9,0,4,0,0,1.4,0,0,,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Calum Chambers,DF,Aston Villa,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ben Chilwell,DF,Chelsea,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ryan Christie,MFFW,Bournemouth,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nathaniel Clyne,DF,Crystal Palace,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Conor Coady,DF,Everton,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jack Colback,MF,Nott'ham Forest,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nathan Collins,DF,Wolves,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Levi Colwill,DF,Brighton,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Lewis Cook,MF,Bournemouth,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Steve Cook,DF,Nott'ham Forest,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Maxwel Cornet,FW,West Ham,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Vladimír Coufal,DF,West Ham,2.8,0,2,0,0,0.71,0,0,,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Philippe Coutinho,MFFW,Aston Villa,1.7,0,5,2,40,2.87,1.15,0,0,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Conor Coventry,MF,West Ham,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Aaron Cresswell,DF,West Ham,3,0,2,0,0,0.67,0,0,,18.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1
Marc Cucurella,DF,Chelsea,2.2,0,4,0,0,1.84,0,0,,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Patson Daka,FW,Leicester City,0.8,0,1,0,0,1.25,0,0,,10.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Diogo Dalot,DF,Manchester Utd,2.9,0,4,3,75,1.36,1.02,0,0,19.2,0,0,0,0.5,0.5,0.13,-0.5,-0.5
Josh Dasilva,MF,Brentford,1.8,2,2,2,100,1.08,1.08,1,1,21.5,0,0,0,0.1,0.1,0.03,+1.9,+1.9
Ben Davies,DF,Tottenham,2.9,0,2,2,100,0.68,0.68,0,0,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Tom Davies,MF,Everton,1.2,0,3,0,0,2.41,0,0,,16.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Kevin De Bruyne,MF,Manchester City,3,1,9,4,44.4,3.03,1.35,0.11,0.25,19.9,1,0,0,0.5,0.5,0.06,+0.5,+0.5
