Player,Pos,Squad,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Brenden Aaronson,FWMF,Leeds United,3,3,255,2.8,1,0,1,0,0,1,0,0.35,0,0.35,0.35,0.35,1.1,1.1,0.2,1.3,0.39,0.06,0.45,0.39,0.45
Che Adams,FW,Southampton,2,1,122,1.4,2,0,2,0,0,0,0,1.48,0,1.48,1.48,1.48,0.4,0.4,0,0.4,0.28,0.03,0.31,0.28,0.31
Tyler Adams,MF,Leeds United,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.03,0.04,0.01,0.04
Tosin Adarabioyo,DF,Fulham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan Aït Nouri,DF,Wolves,3,3,250,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0.03,0.23,0.25,0.03,0.25
Nathan Aké,DF,Manchester City,3,3,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07
Thiago Alcántara,MF,Liverpool,1,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.25,0.25,0,0.25
Trent Alexander-Arnold,DF,Liverpool,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.07,0.16,0.23,0.07,0.23
Alisson,GK,Liverpool,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dele Alli,FWMF,Everton,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Almirón,FW,Newcastle Utd,3,3,252,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0.7,0.7,0.6,1.3,0.26,0.2,0.47,0.26,0.47
Julián Álvarez,FW,Manchester City,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0,0.18,0.18,0.18
